Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Merab Dvalishvili,33,168,Georgia,"Serra-Longo, USA",Wrestling,Serra-Longo,172,90
Sean O'Malley,29,180,USA,"MMA Lab, USA",Striking,MMA Lab,183,94
Umar Nurmagomedov,27,175,Russia,"American Kickboxing Academy, Russia",Wrestling,AKA,180,92
Petr Yan,31,170,Russia,"Tiger Muay Thai, Thailand",Boxing,Tiger Muay Thai,170,89
Cory Sandhagen,31,180,USA,"Elevation Fight Team, USA",Kickboxing,Elevation Fight Team,183,94
Deiveson Figueiredo,36,165,Brazil,"Team Alpha Male, Brazil",Jiu-Jitsu,Team Alpha Male,169,88
Marlon Vera,30,173,Ecuador,"Jackson Wink MMA, USA",Muay Thai,Jackson Wink MMA,175,91
Henry Cejudo,37,163,USA,"Fight Ready, USA",Wrestling,Fight Ready,164,87
Song Yadong,26,173,China,"Team Alpha Male, China",Kickboxing,Team Alpha Male,172,90
Rob Font,36,173,USA,"New England Cartel, USA",Boxing,New England Cartel,173,90
Mario Bautista,30,175,USA,"MMA Lab, USA",Jiu-Jitsu,MMA Lab,178,91
José Aldo,37,170,Brazil,"Nova União, Brazil",Muay Thai,Nova União,178,93
Kyler Phillips,28,178,USA,"MMA Lab, USA",Kickboxing,MMA Lab,180,92
Aiemann Zahabi,35,173,Canada,"Tristar Gym, Canada",Boxing,Tristar Gym,174,90
Marcus McGhee,32,175,USA,"MMA Lab, USA",Boxing,MMA Lab,179,91
