Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Jon Jones,36,193,USA,"Jackson Wink MMA, USA",Wrestling,Jackson Wink MMA,215,112
Tom Aspinall,30,196,UK,"Team Kaobon, UK",Boxing,Team Kaobon,203,106
Ciryl Gane,33,196,France,"MMA Factory, France",Kickboxing,MMA Factory,206,104
Alexander Volkov,34,201,Russia,"Strela Team, Russia",Kickboxing,Strela Team,206,105
Sergei Pavlovich,31,191,Russia,"Eagles MMA, Russia",Kickboxing,Eagles MMA,208,107
Curtis Blaydes,32,193,USA,"Elevation Fight Team, USA",Wrestling,Elevation Fight Team,203,104
Jailton Almeida,32,191,Brazil,"Shoot Boxe, Brazil",Jiu-Jitsu,Shoot Boxe,193,96
Serghei Spivac,28,191,Moldova,"Moldova MMA Academy, Moldova",Wrestling,Moldova MMA Academy,203,105
Marcin Tybura,37,191,Poland,"Ankos MMA, Poland",Kickboxing,Ankos MMA,193,95
Jairzinho Rozenstruik,35,188,Suriname,"Suriname Top Team, Suriname",Striking,Suriname Top Team,198,100
Derrick Lewis,38,191,USA,"Silverback Fight Club, USA",Boxing,Silverback Fight Club,201,102
Tai Tuivasa,30,188,Australia,"CFS MMA, Australia",Striking,CFS MMA,195,99
Marcos Rogerio de Lima,37,185,Brazil,"Chute Boxe, Brazil",Muay Thai,Chute Boxe,193,94
Waldo Cortes Acosta,32,193,Dominican Republic,"Team USA MMA, USA",Boxing,Team USA MMA,201,102
Shamil Gaziev,32,190,Russia,"MMA Factory, Russia",Wrestling,MMA Factory,190,94
