Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Alex Pereira,36,193,Brazil,"Teixeira MMA, Brazil",Kickboxing,Teixeira MMA,200,108
Magomed Ankalaev,31,191,Russia,"Eagles MMA, Russia",Kickboxing,Eagles MMA,193,95
Jiří Procházka,31,191,Czech Republic,"Jetsaam Gym, Czech Republic",Kickboxing,Jetsaam Gym,193,96
Jamahal Hill,32,193,USA,"Factory X, USA",Boxing,Factory X,201,104
Jan Błachowicz,40,188,Poland,"Berkut WCA, Poland",Wrestling,Berkut WCA,194,97
Aleksandar Rakić,31,193,Austria,"UFD Gym, Austria",Kickboxing,UFD Gym,198,99
Carlos Ulberg,32,193,New Zealand,"City Kickboxing, NZ",Kickboxing,City Kickboxing,203,106
Khalil Rountree Jr.,33,185,USA,"Xtreme Couture, USA",Muay Thai,Xtreme Couture,193,94
Nikita Krylov,31,191,Ukraine,"RK Fight Club, Ukraine",Wrestling,RK Fight Club,201,99
Volkan Oezdemir,34,188,Switzerland,"Allstars Training Center, Switzerland",Kickboxing,Allstars Training Center,191,95
Johnny Walker,31,198,Brazil,"SBG Ireland, Ireland",Muay Thai,SBG Ireland,208,108
Dominick Reyes,34,193,USA,"Factory X, USA",Boxing,Factory X,193,96
Azamat Murzakanov,34,178,Russia,"Gor MMA, Russia",Wrestling,Gor MMA,191,92
Bogdan Guskov,30,190,Uzbekistan,"Tiger Muay Thai, Thailand",Kickboxing,Tiger Muay Thai,194,94
Anthony Smith,35,193,USA,"Factory X, USA",Jiu-Jitsu,Factory X,193,96
