Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Julianna Pena,34,168,USA,"Sikjitsu MMA, USA",Wrestling,Sikjitsu MMA,170,91
Raquel Pennington,35,170,USA,"Elevation Fight Team, USA",Wrestling,Elevation Fight Team,170,92
Kayla Harrison,33,173,USA,"ATT, USA",Judo,ATT,173,94
Ketlen Vieira,31,168,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,89
Macy Chiasson,32,180,USA,"Fortis MMA, USA",Wrestling,Fortis MMA,183,94
Norma Dumont,32,170,Brazil,"Thai Brasil, Brazil",Muay Thai,Thai Brasil,170,90
Irene Aldana,35,175,Mexico,"Entram Gym, Mexico",Boxing,Entram Gym,178,95
Mayra Bueno Silva,32,168,Brazil,"Chute Boxe, Brazil",Jiu-Jitsu,Chute Boxe,168,89
Holly Holm,42,173,USA,"Jackson Wink MMA, USA",Striking,Jackson Wink MMA,175,94
Karol Rosa,28,170,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,170,90
Yana Santos,33,168,Russia,"Tiger Muay Thai, Russia",Wrestling,Tiger Muay Thai,168,88
Miesha Tate,37,168,USA,"Xtreme Couture, USA",Wrestling,Xtreme Couture,168,88
Julia Avila,35,168,USA,"Next Gen MMA, USA",Jiu-Jitsu,Next Gen MMA,168,88
Ailin Perez,29,165,Argentina,"MMA Factory, Argentina",Striking,MMA Factory,165,87
Jacqueline Cavalcanti,25,168,Brazil,"Chute Boxe, Brazil",Muay Thai,Chute Boxe,170,90
