Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Valentina Shevchenko,35,165,Kyrgyzstan,"Tiger Muay Thai, Thailand",Kickboxing,Tiger Muay Thai,165,88
Alexa Grasso,30,165,Mexico,"Lobo Gym, Mexico",Boxing,Lobo Gym,168,89
Manon Fiorot,33,170,France,"MMA Factory, France",Kickboxing,MMA Factory,173,92
Erin Blanchfield,24,163,USA,"Renzo Gracie Academy, USA",Wrestling,Renzo Gracie Academy,165,85
Maycee Barber,25,165,USA,"Elevation Fight Team, USA",Striking,Elevation Fight Team,168,88
Natalia Silva,26,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,165,87
Rose Namajunas,31,165,USA,"Elevation Fight Team, USA",Jiu-Jitsu,Elevation Fight Team,165,88
Katlyn Cerminara,32,168,USA,"Xtreme Couture, USA",Wrestling,Xtreme Couture,170,89
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Viviane Araújo,36,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,163,87
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,90
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,89
Tracy Cortez,29,165,USA,"Fight Ready MMA, USA",Wrestling,Fight Ready MMA,165,87
Jasmine Jasudavicius,34,170,Canada,"MMA Clinic, Canada",Jiu-Jitsu,MMA Clinic,170,91
Karine Silva,30,165,Brazil,"Chute Boxe, Brazil",Jiu-Jitsu,Chute Boxe,165,87
Ariane da Silva,28,160,Brazil,"Nova União, Brazil",Striking,Nova União,162,85
