Name,Age,Height (cm),Country,Training Location,Fighting Style,Team,Reach (cm),Leg Reach (cm)
Zhang Weili,34,163,China,"Black Tiger Fight Club, China",Striking,Black Tiger Fight Club,163,88
Tatiana Suarez,32,165,USA,"Millennia MMA, USA",Wrestling,Millennia MMA,168,90
Yan Xiaonan,34,160,China,"Black Tiger Fight Club, China",Striking,Black Tiger Fight Club,160,85
Virna Jandiroba,35,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,165,89
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Amanda Lemos,35,160,Brazil,"Marajo Brothers, Brazil",Striking,Marajo Brothers,163,88
Mackenzie Dern,30,163,USA,"RVCA Training Center, USA",Jiu-Jitsu,RVCA Training Center,163,88
Iasmin Lucindo,21,160,Brazil,"Chute Boxe, Brazil",Striking,Chute Boxe,160,85
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,90
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,89
Marina Rodriguez,36,170,Brazil,"Thai Brasil, Brazil",Muay Thai,Thai Brasil,168,91
Tabatha Ricci,28,155,Brazil,"Chute Boxe, Brazil",Jiu-Jitsu,Chute Boxe,165,85
Loopy Godinez,30,160,Mexico,"Mexico City Gym, Mexico",Striking,Mexico City Gym,162,84
Gillian Robertson,28,165,Canada,"American Top Team, Canada",Jiu-Jitsu,American Top Team,165,88
Angela Hill,38,160,USA,"Alliance MMA, USA",Striking,Alliance MMA,160,85
Luana Pinheiro,30,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,163,87
Julianna Pena,34,168,USA,"Sikjitsu MMA, USA",Wrestling,Sikjitsu MMA,170,91
Raquel Pennington,35,170,USA,"Elevation Fight Team, USA",Wrestling,Elevation Fight Team,170,92
Kayla Harrison,33,173,USA,"ATT, USA",Judo,ATT,173,94
Ketlen Vieira,31,168,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,89
Macy Chiasson,32,180,USA,"Fortis MMA, USA",Wrestling,Fortis MMA,183,94
Norma Dumont,32,170,Brazil,"Thai Brasil, Brazil",Muay Thai,Thai Brasil,170,90
Irene Aldana,35,175,Mexico,"Entram Gym, Mexico",Boxing,Entram Gym,178,95
Mayra Bueno Silva,32,168,Brazil,"Chute Boxe, Brazil",Jiu-Jitsu,Chute Boxe,168,89
Holly Holm,42,173,USA,"Jackson Wink MMA, USA",Striking,Jackson Wink MMA,175,94
Karol Rosa,28,170,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,170,90
Yana Santos,33,168,Russia,"Tiger Muay Thai, Russia",Wrestling,Tiger Muay Thai,168,88
Miesha Tate,37,168,USA,"Xtreme Couture, USA",Wrestling,Xtreme Couture,168,88
Julia Avila,35,168,USA,"Next Gen MMA, USA",Jiu-Jitsu,Next Gen MMA,168,88
Ailin Perez,29,165,Argentina,"MMA Factory, Argentina",Striking,MMA Factory,165,87
Jacqueline Cavalcanti,25,168,Brazil,"Chute Boxe, Brazil",Muay Thai,Chute Boxe,170,90
Valentina Shevchenko,35,165,Kyrgyzstan,"Tiger Muay Thai, Thailand",Kickboxing,Tiger Muay Thai,165,88
Alexa Grasso,30,165,Mexico,"Lobo Gym, Mexico",Boxing,Lobo Gym,168,89
Manon Fiorot,33,170,France,"MMA Factory, France",Kickboxing,MMA Factory,173,92
Erin Blanchfield,24,163,USA,"Renzo Gracie Academy, USA",Wrestling,Renzo Gracie Academy,165,85
Maycee Barber,25,165,USA,"Elevation Fight Team, USA",Striking,Elevation Fight Team,168,88
Natalia Silva,26,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,165,87
Rose Namajunas,31,165,USA,"Elevation Fight Team, USA",Jiu-Jitsu,Elevation Fight Team,165,88
Katlyn Cerminara,32,168,USA,"Xtreme Couture, USA",Wrestling,Xtreme Couture,170,89
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Jéssica Andrade,32,155,Brazil,"PRVT MMA, Brazil",Muay Thai,PRVT MMA,160,85
Viviane Araújo,36,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,163,87
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,90
Amanda Ribas,29,163,Brazil,"Nova União, Brazil",Jiu-Jitsu,Nova União,168,89
Tracy Cortez,29,165,USA,"Fight Ready MMA, USA",Wrestling,Fight Ready MMA,165,87
Jasmine Jasudavicius,34,170,Canada,"MMA Clinic, Canada",Jiu-Jitsu,MMA Clinic,170,91
Karine Silva,30,165,Brazil,"Chute Boxe, Brazil",Jiu-Jitsu,Chute Boxe,165,87
Ariane da Silva,28,160,Brazil,"Nova União, Brazil",Striking,Nova União,162,85
